"access_restricted","site__-","original_format__-","contributor__-","id","partof__001","mime_type__001","mime_type__002","mime_type__003","mime_type__004","mime_type__005","partof__002","partof__003","subject__001","subject__002","index","group__001","group__002","title","segments__url","segments__count","segments__link","online_format__001","online_format__002","online_format__003","digitized","description__-","timestamp","extract_timestamp","date","shelf_id","dates__-","language__-","count","url","items","hassegments","image_url__001","image_url__002","image_url__003","aka__001","aka__002","aka__003","aka__004"
"False","","periodical","a.g. spalding & bros","http://www.loc.gov/item/spalding.00172/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","baseball","periodicals","17","spalding","spalding-base-ball-guides","Spalding's official base ball guide, 1930","https://www.loc.gov/resource/spalding.00172/","456","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00172/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:42.349Z","2018-06-21T07:03:51.868Z","1930-00-00","spaldingbib000013","1930-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00172/","","True","//cdn.loc.gov/service/gdc/spalding/00172/00172t.gif","//cdn.loc.gov/service/gdc/spalding/00172/00001r.jpg#h=680&w=500","//cdn.loc.gov/service/gdc/spalding/00172/00001v.jpg#h=1392&w=1024","http://www.loc.gov/item/spaldingbib000013/","http://hdl.loc.gov/loc.gdc/spalding.00172","http://www.loc.gov/resource/spalding.00172/","http://www.loc.gov/item/spalding.00172/"
"False","","periodical","a.g. spalding & bros","http://www.loc.gov/item/spalding.00174/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","baseball","periodicals","18","spalding","spalding-base-ball-guides","Spalding's official base ball guide, 1934","https://www.loc.gov/resource/spalding.00174/","328","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00174/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:43.848Z","2018-06-21T07:03:51.868Z","1934-00-00","spaldingbib000014","1934-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00174/","","True","//cdn.loc.gov/service/gdc/spalding/00174/00174t.gif","//cdn.loc.gov/service/gdc/spalding/00174/00001r.jpg#h=659&w=500","//cdn.loc.gov/service/gdc/spalding/00174/00001v.jpg#h=1350&w=1024","http://www.loc.gov/item/spaldingbib000014/","http://hdl.loc.gov/loc.gdc/spalding.00174","http://www.loc.gov/resource/spalding.00174/","http://www.loc.gov/item/spalding.00174/"
"False","","periodical","a.g. spalding & bros","http://www.loc.gov/item/spalding.00179/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","baseball","periodicals","19","spalding","spalding-base-ball-guides","Spalding's official base ball guide, 1939","https://www.loc.gov/resource/spalding.00179/","528","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00179/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:45.329Z","2018-06-21T07:03:51.868Z","1939-00-00","spaldingbib000015","1939-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00179/","","True","//cdn.loc.gov/service/gdc/spalding/00179/00179t.gif","//cdn.loc.gov/service/gdc/spalding/00179/00001r.jpg#h=706&w=500","//cdn.loc.gov/service/gdc/spalding/00179/00001v.jpg#h=1445&w=1024","http://www.loc.gov/item/spaldingbib000015/","http://hdl.loc.gov/loc.gdc/spalding.00179","http://www.loc.gov/resource/spalding.00179/","http://www.loc.gov/item/spalding.00179/"
"False","","periodical","american sports pu co.","http://www.loc.gov/item/spalding.00236/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","indoor baseball","periodicals","20","spalding","spalding-base-ball-guides","Official indoor base ball guide containing the constitution, 1903","https://www.loc.gov/resource/spalding.00236/","132","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00236/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:47.153Z","2018-06-21T07:03:51.868Z","1903-00-00","spaldingbib000016","1903-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00236/","","True","//cdn.loc.gov/service/gdc/spalding/00236/00236t.gif","//cdn.loc.gov/service/gdc/spalding/00236/00001r.jpg#h=655&w=500","//cdn.loc.gov/service/gdc/spalding/00236/00001v.jpg#h=1341&w=1024","http://www.loc.gov/item/spaldingbib000016/","http://hdl.loc.gov/loc.gdc/spalding.00236","http://www.loc.gov/resource/spalding.00236/","http://www.loc.gov/item/spalding.00236/"
"False","","periodical","american sports pu co.","http://www.loc.gov/item/spalding.00237/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","indoor baseball","periodicals","21","spalding","spalding-base-ball-guides","Official indoor base ball guide containing the constitution, 1904","https://www.loc.gov/resource/spalding.00237/","164","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00237/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:47.601Z","2018-06-21T07:03:51.868Z","1904-00-00","spaldingbib000017","1904-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00237/","","True","//cdn.loc.gov/service/gdc/spalding/00237/00237t.gif","//cdn.loc.gov/service/gdc/spalding/00237/00001r.jpg#h=655&w=500","//cdn.loc.gov/service/gdc/spalding/00237/00001v.jpg#h=1341&w=1024","http://www.loc.gov/item/spaldingbib000017/","http://hdl.loc.gov/loc.gdc/spalding.00237","http://www.loc.gov/resource/spalding.00237/","http://www.loc.gov/item/spalding.00237/"
"False","","periodical","american sports pu co.","http://www.loc.gov/item/spalding.00238/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","indoor baseball","periodicals","22","spalding","spalding-base-ball-guides","Official indoor base ball guide containing the constitution, 1905","https://www.loc.gov/resource/spalding.00238/","196","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00238/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:48.166Z","2018-06-21T07:03:51.868Z","1905-00-00","spaldingbib000018","1905-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00238/","","True","//cdn.loc.gov/service/gdc/spalding/00238/00238t.gif","//cdn.loc.gov/service/gdc/spalding/00238/00001r.jpg#h=655&w=500","//cdn.loc.gov/service/gdc/spalding/00238/00001v.jpg#h=1341&w=1024","http://www.loc.gov/item/spaldingbib000018/","http://hdl.loc.gov/loc.gdc/spalding.00238","http://www.loc.gov/resource/spalding.00238/","http://www.loc.gov/item/spalding.00238/"
"False","","periodical","american sports pu co.","http://www.loc.gov/item/spalding.00239/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","indoor baseball","periodicals","23","spalding","spalding-base-ball-guides","Official indoor base ball guide containing the constitution, 1906","https://www.loc.gov/resource/spalding.00239/","196","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00239/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:48.862Z","2018-06-21T07:03:51.868Z","1906-00-00","spaldingbib000019","1906-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00239/","","True","//cdn.loc.gov/service/gdc/spalding/00239/00239t.gif","//cdn.loc.gov/service/gdc/spalding/00239/00001r.jpg#h=655&w=500","//cdn.loc.gov/service/gdc/spalding/00239/00001v.jpg#h=1341&w=1024","http://www.loc.gov/item/spaldingbib000019/","http://hdl.loc.gov/loc.gdc/spalding.00239","http://www.loc.gov/resource/spalding.00239/","http://www.loc.gov/item/spalding.00239/"
"False","","periodical","american sports pu co.","http://www.loc.gov/item/spalding.00240/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","indoor baseball","periodicals","24","spalding","spalding-base-ball-guides","Official indoor base ball guide containing the constitution, 1907","https://www.loc.gov/resource/spalding.00240/","132","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00240/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:49.470Z","2018-06-21T07:03:51.868Z","1907-00-00","spaldingbib000020","1907-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00240/","","True","//cdn.loc.gov/service/gdc/spalding/00240/00240t.gif","//cdn.loc.gov/service/gdc/spalding/00240/00001r.jpg#h=655&w=500","//cdn.loc.gov/service/gdc/spalding/00240/00001v.jpg#h=1341&w=1024","http://www.loc.gov/item/spaldingbib000020/","http://hdl.loc.gov/loc.gdc/spalding.00240","http://www.loc.gov/resource/spalding.00240/","http://www.loc.gov/item/spalding.00240/"
"False","","periodical","american sports pu co.","http://www.loc.gov/item/spalding.00241/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","indoor baseball","periodicals","25","spalding","spalding-base-ball-guides","Official indoor base ball guide containing the constitution, 1908","https://www.loc.gov/resource/spalding.00241/","164","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00241/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:49.981Z","2018-06-21T07:03:51.868Z","1908-00-00","spaldingbib000021","1908-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00241/","","True","//cdn.loc.gov/service/gdc/spalding/00241/00241t.gif","//cdn.loc.gov/service/gdc/spalding/00241/00001r.jpg#h=655&w=500","//cdn.loc.gov/service/gdc/spalding/00241/00001v.jpg#h=1341&w=1024","http://www.loc.gov/item/spaldingbib000021/","http://hdl.loc.gov/loc.gdc/spalding.00241","http://www.loc.gov/resource/spalding.00241/","http://www.loc.gov/item/spalding.00241/"
"False","","periodical","american sports pu co.","http://www.loc.gov/item/spalding.00242/","general collections","application/pdf","text/xml","image/tiff","image/jpeg","application/xml","american memory","the spalding base ball guides, 1889-1939","indoor baseball","periodicals","26","spalding","spalding-base-ball-guides","Official indoor base ball guide containing the constitution, 1909","https://www.loc.gov/resource/spalding.00242/","164","https://www.loc.gov/collections/spalding-base-ball-guides/?at=results&c=50&fa=segmentof:spalding.00242/&fo=json&sb=shelf-id&st=gallery","pdf","online text","image","True","","2018-06-21T07:04:50.538Z","2018-06-21T07:03:51.868Z","1909-00-00","spaldingbib000022","1909-01-01T00:00:00Z","english","","https://www.loc.gov/item/spalding.00242/","","True","//cdn.loc.gov/service/gdc/spalding/00242/00242t.gif","//cdn.loc.gov/service/gdc/spalding/00242/00001r.jpg#h=655&w=500","//cdn.loc.gov/service/gdc/spalding/00242/00001v.jpg#h=1341&w=1024","http://www.loc.gov/item/spaldingbib000022/","http://hdl.loc.gov/loc.gdc/spalding.00242","http://www.loc.gov/resource/spalding.00242/","http://www.loc.gov/item/spalding.00242/"
