"access_restricted","original_format__-","contributor__-","id","partof__001","partof__002","partof__003","partof__004","partof__005","partof__006","subject__001","subject__002","subject__003","subject__004","subject__005","subject__006","subject__007","subject__008","subject__009","subject__010","subject__011","subject__012","subject__013","index","group__001","group__002","group__003","group__004","title","online_format__-","location__001","location__002","number_former_id__-","mime_type__001","mime_type__002","mime_type__003","mime_type__004","digitized","description__-","timestamp","site__001","site__002","extract_timestamp","date","number__-","shelf_id","other_title__-","dates__-","language__-","url","hassegments","image_url__001","image_url__002","image_url__003","image_url__004","image_url__005","aka__001","aka__002","aka__003","aka__004","aka__005","aka__006","aka__007","aka__008","aka__009","aka__010","aka__011","aka__012","aka__013","aka__014","aka__015","aka__016","aka__017"
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2007683737/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","sheckard, jimmy (team member)","chicago cubs","chicago","national league","left fielder","baseball cards","halftone photomechanical prints","","","","","","","629","bbc","catalog","baseball-cards","","[Sheckard, Chicago Cubs, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print : halftone and stencil.","2016-05-17T21:38:06.050Z","pictures","catalog","2016-05-17T21:36:20.012Z","1909","","LOT 13163-17, no. 14 [P&P]","Ramly Cigarettes (T204)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2007683737/","False","//cdn.loc.gov/service/pnp/bbc/0600/0620/0626f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0600/0620/0626f_150px.jpg#h=150&w=121","//cdn.loc.gov/service/pnp/bbc/0600/0620/0626ft.gif#h=150&w=121","//cdn.loc.gov/service/pnp/bbc/0600/0620/0626fr.jpg#h=640&w=515","//cdn.loc.gov/service/pnp/bbc/0600/0620/0626fv.jpg#h=1024&w=823","http://www.loc.gov/pictures/collection/bbc/item/2007683737/","http://hdl.loc.gov/loc.pnp/bbc.0626b","http://www.loc.gov/item/2007683737/","http://www.loc.gov/pictures/item/2007683737/","http://hdl.loc.gov/loc.pnp/bbc.0626f","http://www.loc.gov/resource/bbc.0626f/","http://www.loc.gov/resource/bbc.0626b/","http://lccn.loc.gov/2007683737","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2007683738/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","tinker, joe (team member)","chicago cubs","chicago","national league","shortstop","baseball cards","halftone photomechanical prints","","","","","","","630","bbc","catalog","baseball-cards","","[Joe Tinker, Chicago Cubs, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print : halftone and stencil.","2016-05-17T21:38:06.050Z","pictures","catalog","2016-05-17T21:36:20.012Z","1909","","LOT 13163-17, no. 15 [P&P]","Ramly Cigarettes (T204)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2007683738/","False","//cdn.loc.gov/service/pnp/bbc/0600/0620/0627f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0600/0620/0627f_150px.jpg#h=150&w=120","//cdn.loc.gov/service/pnp/bbc/0600/0620/0627ft.gif#h=150&w=120","//cdn.loc.gov/service/pnp/bbc/0600/0620/0627fr.jpg#h=640&w=511","//cdn.loc.gov/service/pnp/bbc/0600/0620/0627fv.jpg#h=1024&w=817","http://www.loc.gov/pictures/collection/bbc/item/2007683738/","http://hdl.loc.gov/loc.pnp/bbc.0627b","http://www.loc.gov/item/2007683738/","http://www.loc.gov/pictures/item/2007683738/","http://hdl.loc.gov/loc.pnp/bbc.0627f","http://www.loc.gov/resource/bbc.0627f/","http://www.loc.gov/resource/bbc.0627b/","http://lccn.loc.gov/2007683738","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2007683739/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","bancroft, frank c. (team member)","cincinnati reds","cincinnati","national league","manager","baseball cards","halftone photomechanical prints","","","","","","","631","bbc","catalog","baseball-cards","","[Frank C. Bancroft, Cincinnati Reds, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print : halftone and stencil.","2016-05-17T21:38:06.050Z","pictures","catalog","2016-05-17T21:36:20.012Z","1909","","LOT 13163-17, no. 16 [P&P]","Ramly Cigarettes (T204)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2007683739/","False","//cdn.loc.gov/service/pnp/bbc/0600/0620/0628f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0600/0620/0628f_150px.jpg#h=150&w=123","//cdn.loc.gov/service/pnp/bbc/0600/0620/0628ft.gif#h=150&w=123","//cdn.loc.gov/service/pnp/bbc/0600/0620/0628fr.jpg#h=640&w=525","//cdn.loc.gov/service/pnp/bbc/0600/0620/0628fv.jpg#h=1024&w=840","http://www.loc.gov/pictures/collection/bbc/item/2007683739/","http://hdl.loc.gov/loc.pnp/bbc.0628b","http://www.loc.gov/item/2007683739/","http://www.loc.gov/pictures/item/2007683739/","http://hdl.loc.gov/loc.pnp/bbc.0628f","http://www.loc.gov/resource/bbc.0628f/","http://www.loc.gov/resource/bbc.0628b/","http://lccn.loc.gov/2007683739","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2007683740/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","ewing, bob (team member)","cincinnati reds","cincinnati","national league","pitcher","baseball cards","halftone photomechanical prints","","","","","","","632","bbc","catalog","baseball-cards","","[Bob Ewing, Cincinnati Reds, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print : halftone and stencil.","2016-05-17T21:38:06.050Z","pictures","catalog","2016-05-17T21:36:20.012Z","1909","","LOT 13163-17, no. 17 [P&P]","Ramly Cigarettes (T204)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2007683740/","False","//cdn.loc.gov/service/pnp/bbc/0600/0620/0629f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0600/0620/0629f_150px.jpg#h=150&w=123","//cdn.loc.gov/service/pnp/bbc/0600/0620/0629ft.gif#h=150&w=123","//cdn.loc.gov/service/pnp/bbc/0600/0620/0629fr.jpg#h=640&w=524","//cdn.loc.gov/service/pnp/bbc/0600/0620/0629fv.jpg#h=1024&w=839","http://www.loc.gov/pictures/collection/bbc/item/2007683740/","http://hdl.loc.gov/loc.pnp/bbc.0629b","http://www.loc.gov/item/2007683740/","http://www.loc.gov/pictures/item/2007683740/","http://hdl.loc.gov/loc.pnp/bbc.0629f","http://www.loc.gov/resource/bbc.0629f/","http://www.loc.gov/resource/bbc.0629b/","http://lccn.loc.gov/2007683740","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2007683741/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","fromme, art (team member)","cincinnati reds","cincinnati","national league","pitcher","baseball cards","halftone photomechanical prints","","","","","","","633","bbc","catalog","baseball-cards","","[Art Fromme, Cincinnati Reds, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print : halftone and stencil.","2016-05-17T21:38:06.050Z","pictures","catalog","2016-05-17T21:36:20.012Z","1909","","LOT 13163-17, no. 18 [P&P]","Ramly Cigarettes (T204)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2007683741/","False","//cdn.loc.gov/service/pnp/bbc/0600/0630/0630f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0600/0630/0630f_150px.jpg#h=150&w=121","//cdn.loc.gov/service/pnp/bbc/0600/0630/0630ft.gif#h=150&w=121","//cdn.loc.gov/service/pnp/bbc/0600/0630/0630fr.jpg#h=640&w=516","//cdn.loc.gov/service/pnp/bbc/0600/0630/0630fv.jpg#h=1024&w=826","http://www.loc.gov/pictures/collection/bbc/item/2007683741/","http://hdl.loc.gov/loc.pnp/bbc.0630b","http://www.loc.gov/item/2007683741/","http://www.loc.gov/pictures/item/2007683741/","http://hdl.loc.gov/loc.pnp/bbc.0630f","http://www.loc.gov/resource/bbc.0630f/","http://www.loc.gov/resource/bbc.0630b/","http://lccn.loc.gov/2007683741","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2007683742/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","hoblitzell, dick (team member)","cincinnati reds","cincinnati","national league","first baseman","baseball cards","halftone photomechanical prints","","","","","","","634","bbc","catalog","baseball-cards","","[Dick Hoblitzell, Cincinnati Reds, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print : halftone and stencil.","2016-05-17T21:38:06.050Z","pictures","catalog","2016-05-17T21:36:20.012Z","1909","","LOT 13163-17, no. 19 [P&P]","Ramly Cigarettes (T204)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2007683742/","False","//cdn.loc.gov/service/pnp/bbc/0600/0630/0631f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0600/0630/0631f_150px.jpg#h=150&w=120","//cdn.loc.gov/service/pnp/bbc/0600/0630/0631ft.gif#h=150&w=120","//cdn.loc.gov/service/pnp/bbc/0600/0630/0631fr.jpg#h=640&w=511","//cdn.loc.gov/service/pnp/bbc/0600/0630/0631fv.jpg#h=1024&w=817","http://www.loc.gov/pictures/collection/bbc/item/2007683742/","http://hdl.loc.gov/loc.pnp/bbc.0631b","http://www.loc.gov/item/2007683742/","http://www.loc.gov/pictures/item/2007683742/","http://hdl.loc.gov/loc.pnp/bbc.0631f","http://www.loc.gov/resource/bbc.0631f/","http://www.loc.gov/resource/bbc.0631b/","http://lccn.loc.gov/2007683742","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2007683725/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","bowerman, frank (team member)","boston doves","boston","national league","manager","catcher","baseball cards","halftone photomechanical prints","","","","","","635","bbc","catalog","baseball-cards","","[Frank Bowerman, Boston Doves, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print : halftone and stencil.","2016-05-17T21:38:06.050Z","pictures","catalog","2016-05-17T21:36:20.012Z","1909","","LOT 13163-17, no. 2 [P&P]","Ramly Cigarettes (T204)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2007683725/","False","//cdn.loc.gov/service/pnp/bbc/0600/0610/0614f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0600/0610/0614f_150px.jpg#h=150&w=120","//cdn.loc.gov/service/pnp/bbc/0600/0610/0614ft.gif#h=150&w=120","//cdn.loc.gov/service/pnp/bbc/0600/0610/0614fr.jpg#h=640&w=511","//cdn.loc.gov/service/pnp/bbc/0600/0610/0614fv.jpg#h=1024&w=817","http://www.loc.gov/pictures/collection/bbc/item/2007683725/","http://hdl.loc.gov/loc.pnp/bbc.0614b","http://www.loc.gov/item/2007683725/","http://www.loc.gov/pictures/item/2007683725/","http://hdl.loc.gov/loc.pnp/bbc.0614f","http://hdl.loc.gov/loc.pnp/bbc.3c32892","http://www.loc.gov/resource/bbc.0614f/","http://www.loc.gov/resource/bbc.0614b/","http://www.loc.gov/resource/cph.3c32892/","http://www.loc.gov/resource/bbc.3c32892/","http://lccn.loc.gov/2007683725","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2007683743/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","huggins, miller (team member)","cincinnati reds","cincinnati","national league","second baseman","baseball cards","halftone photomechanical prints","","","","","","","636","bbc","catalog","baseball-cards","","[Miller Huggins, Cincinnati Reds, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print : halftone and stencil.","2016-05-17T21:38:06.050Z","pictures","catalog","2016-05-17T21:36:20.012Z","1909","","LOT 13163-17, no. 20 [P&P]","Ramly Cigarettes (T204)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2007683743/","False","//cdn.loc.gov/service/pnp/bbc/0600/0630/0632f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0600/0630/0632f_150px.jpg#h=150&w=121","//cdn.loc.gov/service/pnp/bbc/0600/0630/0632ft.gif#h=150&w=121","//cdn.loc.gov/service/pnp/bbc/0600/0630/0632fr.jpg#h=640&w=516","//cdn.loc.gov/service/pnp/bbc/0600/0630/0632fv.jpg#h=1024&w=825","http://www.loc.gov/pictures/collection/bbc/item/2007683743/","http://hdl.loc.gov/loc.pnp/bbc.0632b","http://www.loc.gov/item/2007683743/","http://www.loc.gov/pictures/item/2007683743/","http://hdl.loc.gov/loc.pnp/bbc.0632f","http://www.loc.gov/resource/bbc.0632f/","http://www.loc.gov/resource/bbc.0632b/","http://lccn.loc.gov/2007683743","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2007683744/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","kargar, ed (team member)","cincinnati reds","cincinnati","national league","pitcher","baseball cards","halftone photomechanical prints","","","","","","","637","bbc","catalog","baseball-cards","","[Ed Kargar, Cincinnati Reds, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print : halftone and stencil.","2016-05-17T21:38:06.050Z","pictures","catalog","2016-05-17T21:36:20.012Z","1909","","LOT 13163-17, no. 21 [P&P]","Ramly Cigarettes (T204)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2007683744/","False","//cdn.loc.gov/service/pnp/bbc/0600/0630/0633f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0600/0630/0633f_150px.jpg#h=150&w=120","//cdn.loc.gov/service/pnp/bbc/0600/0630/0633ft.gif#h=150&w=120","//cdn.loc.gov/service/pnp/bbc/0600/0630/0633fr.jpg#h=640&w=514","//cdn.loc.gov/service/pnp/bbc/0600/0630/0633fv.jpg#h=1024&w=822","http://www.loc.gov/pictures/collection/bbc/item/2007683744/","http://hdl.loc.gov/loc.pnp/bbc.0633b","http://www.loc.gov/item/2007683744/","http://www.loc.gov/pictures/item/2007683744/","http://hdl.loc.gov/loc.pnp/bbc.0633f","http://www.loc.gov/resource/bbc.0633f/","http://www.loc.gov/resource/bbc.0633b/","http://lccn.loc.gov/2007683744","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2007683745/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","devlin, art (team member)","new york giants","new york","national league","third baseman","baseball cards","halftone photomechanical prints","","","","","","","638","bbc","catalog","baseball-cards","","[Art Devlin, New York Giants, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print : halftone and stencil.","2016-05-17T21:38:06.050Z","pictures","catalog","2016-05-17T21:36:20.012Z","1909","","LOT 13163-17, no. 22 [P&P]","Ramly Cigarettes (T204)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2007683745/","False","//cdn.loc.gov/service/pnp/bbc/0600/0630/0634f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0600/0630/0634f_150px.jpg#h=150&w=121","//cdn.loc.gov/service/pnp/bbc/0600/0630/0634ft.gif#h=150&w=121","//cdn.loc.gov/service/pnp/bbc/0600/0630/0634fr.jpg#h=640&w=516","//cdn.loc.gov/service/pnp/bbc/0600/0630/0634fv.jpg#h=1024&w=826","http://www.loc.gov/pictures/collection/bbc/item/2007683745/","http://hdl.loc.gov/loc.pnp/bbc.0634b","http://www.loc.gov/item/2007683745/","http://www.loc.gov/pictures/item/2007683745/","http://hdl.loc.gov/loc.pnp/bbc.0634f","http://www.loc.gov/resource/bbc.0634f/","http://www.loc.gov/resource/bbc.0634b/","http://lccn.loc.gov/2007683745","","","","","","","","",""
