"location_w__001","location_w__002","location_w__003","contributor_w__-","access_restricted","original_format__001","original_format__002","original_format__003","contributor__001","contributor__002","contributor__003","id","partof__001","partof__002","partof__003","partof__004","partof__005","partof__006","subject__001","subject__002","subject__003","subject__004","subject__005","subject__006","subject__007","subject__008","subject__009","subject__010","subject__011","subject__012","index","number__-","group__001","group__002","group__003","group__004","group__005","group__006","title","online_format__001","online_format__002","mime_type__001","mime_type__002","mime_type__003","mime_type__004","mime_type__005","location__001","location__002","number_former_id__-","location__003","location__004","digitized","description__-","timestamp","site__001","site__002","site__003","extract_timestamp","date","shelf_id","count","aka__001","aka__002","aka__003","aka__004","aka__005","aka__006","aka__007","aka__008","aka__009","aka__010","aka__011","aka__012","aka__013","aka__014","aka__015","dates__-","language__-","url","items","hassegments","image_url__001","image_url__002","image_url__003","image_url__004","image_url__005","partof_w__001","partof_w__002","partof_w__003","partof_w__004","partof_w__005","subject_w__001","subject_w__002","subject_w__003","subject_w__004","subject_w__005","subject_w__006","subject_w__007","subject_w__008","subject_w__009","subject_w__010"
"","","","rothstein, arthur","True","photo, print, drawing","","","rothstein, arthur","","","http://www.loc.gov/item/97518922/","prints and photographs division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","catalog","american memory","","","robinson, jackie","family","robinson, rachel","families","group portraits","photographic prints","portrait photographs","","","","","","11","","cph","catalog","bbpix.mar","miscellaneous-items-high-demand","baseball-and-jackie-robinson","","[Jackie Robinson, Rachel Robinson, and their three children, David, Sharon, and Jackie, Jr.]","image","","image/gif","image/jpg","image/tif","image/jpeg","","","","","","","True","1 photographic print.","2017-02-11T18:16:10.961Z","pictures","catalog","ammem","2017-02-10T21:27:15.193Z","1956","LC-L9-54-7021-A, no. 15 [P&P] LOOK - Job 56-7021-A, no. 15 (Corresponding contact sheet:)","","http://www.loc.gov/pictures/collection/cph/item/97518922/","http://hdl.loc.gov/loc.pnp/ds.04522","http://www.loc.gov/item/97518922/","http://www.loc.gov/pictures/item/97518922/","http://hdl.loc.gov/loc.pnp/ppmsc.00046","http://www.loc.gov/resource/ppmsc.00046/","http://www.loc.gov/resource/ds.04522/","http://lccn.loc.gov/97518922","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ppmsc+00046))","","","","","","","1956-01-01T00:00:00Z","english","https://www.loc.gov/item/97518922/","","False","//cdn.loc.gov/service/pnp/ppmsc/00000/00046_150px.jpg","//cdn.loc.gov/service/pnp/ppmsc/00000/00046_150px.jpg#h=96&w=150","//cdn.loc.gov/service/pnp/ppmsc/00000/00046t.gif#h=96&w=150","//cdn.loc.gov/service/pnp/ppmsc/00000/00046r.jpg#h=479&w=750","//cdn.loc.gov/service/pnp/ppmsc/00000/00046v.jpg#h=653&w=1024","prints and photographs division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","catalog","american memory","","robinson, jackie","family","robinson, rachel","families","group portraits","photographic prints","portrait photographs","","",""
"","","","rhodenbaugh, harold","True","photo, print, drawing","","","rhodenbaugh, harold","","","http://www.loc.gov/item/97519248/","prints and photographs division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","","","rickey, branch","robinson, jackie","halftone photomechanical prints","periodical illustrations","portrait photographs","publicity photographs","","","","","","","12","","cph","bbpix.mar","catalog","miscellaneous-items-high-demand","baseball-and-jackie-robinson","","[First page of a LOOK magazine article titled ""A Branch Grows in Brooklyn"" by Tim Cohane, showing a portrait of Branch Rickey and a small inset portrait of Jackie Robinson]","image","","image/gif","image/jpg","image/tif","image/jpeg","","","","","","","True","1 photomechanical print : halftone.","2017-02-11T18:16:10.961Z","pictures","ammem","catalog","2017-02-10T21:27:15.193Z","1946","LOOK COLL. (Suppl. Archives) <item> [P&P]","","http://www.loc.gov/pictures/collection/cph/item/97519248/","http://hdl.loc.gov/loc.pnp/cph.3c19888","http://www.loc.gov/item/97519248/","http://www.loc.gov/pictures/item/97519248/","http://hdl.loc.gov/loc.pnp/ppmsc.00040","http://www.loc.gov/resource/ppmsc.00040/","http://www.loc.gov/resource/cph.3c19888/","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ppmsc+00040))","http://lccn.loc.gov/97519248","","","","","","","1946-01-01T00:00:00Z","english","https://www.loc.gov/item/97519248/","","False","//cdn.loc.gov/service/pnp/ppmsc/00000/00040_150px.jpg","//cdn.loc.gov/service/pnp/ppmsc/00000/00040_150px.jpg#h=150&w=118","//cdn.loc.gov/service/pnp/ppmsc/00000/00040t.gif#h=139&w=150","//cdn.loc.gov/service/pnp/ppmsc/00000/00040r.jpg#h=535&w=576","//cdn.loc.gov/service/pnp/ppmsc/00000/00040v.jpg#h=1024&w=807","prints and photographs division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","","rickey, branch","robinson, jackie","halftone photomechanical prints","periodical illustrations","portrait photographs","publicity photographs","","","",""
"","","","","False","photo, print, drawing","","","","","","http://www.loc.gov/item/95505022/","prints and photographs division","lot 10615","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","","sousa, john philip","baseball players","group portraits","photomechanical prints","portrait prints","sheet music covers","","","","","","","13","","cph","bbpix.mar","catalog","miscellaneous-items-high-demand","baseball-and-jackie-robinson","","Three strikes two-step, by A.W. Bauer, late of Sousa's band--Dedicated to John Philip Sousa's baseball team","image","","image/gif","image/jpg","image/tif","image/jpeg","","","","","","","True","1 photomechanical print : halftone. | Sheet music cover showing John Philip Sousa (front row, center) and his baseball team.","2017-02-11T18:12:08.698Z","pictures","ammem","catalog","2017-02-10T21:26:38.064Z","1902","LOT 10615-77 <item> [P&P]","","http://www.loc.gov/pictures/collection/cph/item/95505022/","http://www.loc.gov/item/95505022/","http://www.loc.gov/pictures/item/95505022/","http://hdl.loc.gov/loc.pnp/cph.3g03222","http://www.loc.gov/resource/cph.3g03222/","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(cph+3g03222))","http://lccn.loc.gov/95505022","","","","","","","","","1902-01-01T00:00:00Z","english","https://www.loc.gov/item/95505022/","","False","//cdn.loc.gov/service/pnp/cph/3g00000/3g03000/3g03200/3g03222_150px.jpg","//cdn.loc.gov/service/pnp/cph/3g00000/3g03000/3g03200/3g03222t.gif#h=150&w=114","//cdn.loc.gov/service/pnp/cph/3g00000/3g03000/3g03200/3g03222_150px.jpg#h=150&w=124","//cdn.loc.gov/service/pnp/cph/3g00000/3g03000/3g03200/3g03222r.jpg#h=750&w=572","//cdn.loc.gov/service/pnp/cph/3g00000/3g03000/3g03200/3g03222v.jpg#h=1024&w=847","prints and photographs division","lot 10615","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","sousa, john philip","baseball players","group portraits","photomechanical prints","portrait prints","sheet music covers","","","",""
"cuba","","","","False","photo, print, drawing","","","","","","http://www.loc.gov/item/94514613/","prints and photographs division","lot 10618","catalog","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","","baseball","cuba","advertisements","tobacco package labels","wood engravings","color","","","","","","","14","","cph","catalog","bbpix.mar","miscellaneous-items-high-demand","baseball-and-jackie-robinson","","Star club","image","","image/gif","image/jpg","image/tif","image/jpeg","","cuba","","","","","True","1 print : wood engraving, color. | Print of tobacco package label showing a baseball game from the third base side.","2017-02-11T18:11:46.613Z","pictures","catalog","ammem","2017-02-10T21:26:35.032Z","1867","LOT 10618-27 [item] [P&P]","","http://www.loc.gov/pictures/collection/cph/item/94514613/","http://hdl.loc.gov/loc.pnp/cph.3g03227","http://www.loc.gov/item/94514613/","http://www.loc.gov/pictures/item/94514613/","http://hdl.loc.gov/loc.pnp/ppmsca.17527","http://www.loc.gov/resource/ppmsca.17527/","http://www.loc.gov/resource/cph.3g03227/","http://lccn.loc.gov/94514613","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(cph+3g03227))","","","","","","","1867-01-01T00:00:00Z","english","https://www.loc.gov/item/94514613/","","False","//cdn.loc.gov/service/pnp/ppmsca/17500/17527_150px.jpg","//cdn.loc.gov/service/pnp/ppmsca/17500/17527_150px.jpg#h=150&w=99","//cdn.loc.gov/service/pnp/ppmsca/17500/17527t.gif#h=150&w=99","//cdn.loc.gov/service/pnp/ppmsca/17500/17527r.jpg#h=640&w=421","//cdn.loc.gov/service/pnp/ppmsca/17500/17527v.jpg#h=1024&w=674","prints and photographs division","lot 10618","catalog","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","baseball","cuba","advertisements","tobacco package labels","wood engravings","color","","","",""
"","","","","False","photo, print, drawing","","","","","","http://www.loc.gov/item/89714132/","prints and photographs division","bain collection","lot 11147","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","bender, chief","baseball players","pennsylvania","philadelphia","photographic prints","portrait photographs","","","","","","","15","http://www.loc.gov/item/11529311","ggbain","bbpix.mar","catalog","bain","baseball-and-jackie-robinson","main-catalog","[Charles Albert (Chief) Bender, of the Philadelphia Athletics baseball team, three-quarter length portrait, seated, facing forward]","image","","image/gif","image/jpg","image/tif","image/jpeg","","pennsylvania","philadelphia","http://www.loc.gov/item/11529311","","","True","1 photographic print.","2018-05-08T20:49:07.863Z","pictures","ammem","catalog","2018-05-08T20:28:31.491Z","1910","LOT 11147-1 <item> [P&P]","","http://www.loc.gov/pictures/collection/ggbain/item/89714132/","http://hdl.loc.gov/loc.pnp/cph.3a29632","http://www.loc.gov/item/89714132/","http://www.loc.gov/pictures/item/89714132/","http://hdl.loc.gov/loc.pnp/cph.3b43947","http://www.loc.gov/resource/cph.3b43947/","http://www.loc.gov/resource/cph.3a29632/","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(cph+3b43947))","http://lccn.loc.gov/89714132","","","","","","","1910-01-01T00:00:00Z","english","https://www.loc.gov/item/89714132/","","False","//cdn.loc.gov/service/pnp/cph/3b40000/3b43000/3b43900/3b43947_150px.jpg","//cdn.loc.gov/service/pnp/cph/3b40000/3b43000/3b43900/3b43947_150px.jpg#h=150&w=112","//cdn.loc.gov/service/pnp/cph/3b40000/3b43000/3b43900/3b43947t.gif#h=150&w=113","//cdn.loc.gov/service/pnp/cph/3b40000/3b43000/3b43900/3b43947r.jpg#h=640&w=480","","","","","","","","","","","","","","","",""
"","","","","False","photo, print, drawing","","","","","","http://www.loc.gov/item/92513258/","prints and photographs division","bain collection","lot 11147","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","marsans, armando","baseball players","ohio","cincinnati","photographic prints","","","","","","","","16","http://www.loc.gov/item/11603987","ggbain","bbpix.mar","catalog","bain","baseball-and-jackie-robinson","main-catalog","[Armando Marsans, Cincinnati NL (baseball)]","image","","image/gif","image/jpg","image/tif","image/jpeg","","ohio","cincinnati","http://www.loc.gov/item/11603987","","","True","1 photographic print. | Photo shows Cuban-born Major League baseball player Armando Marsans (1887-1960). (Source: Flickr Commons project, 2009).","2018-05-08T20:49:14.056Z","pictures","ammem","catalog","2018-05-08T20:28:32.262Z","1912","LOT 11147-1 <item> [P&P]","","http://www.loc.gov/pictures/collection/ggbain/item/92513258/","http://www.loc.gov/item/92513258/","http://www.loc.gov/pictures/item/92513258/","http://hdl.loc.gov/loc.pnp/cph.3c05850","http://www.loc.gov/resource/cph.3c05850/","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(cph+3c05850))","http://lccn.loc.gov/92513258","","","","","","","","","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/92513258/","","False","//cdn.loc.gov/service/pnp/cph/3c00000/3c05000/3c05800/3c05850_150px.jpg","//cdn.loc.gov/service/pnp/cph/3c00000/3c05000/3c05800/3c05850_150px.jpg#h=121&w=150","//cdn.loc.gov/service/pnp/cph/3c00000/3c05000/3c05800/3c05850t.gif#h=121&w=150","//cdn.loc.gov/service/pnp/cph/3c00000/3c05000/3c05800/3c05850r.jpg#h=515&w=640","//cdn.loc.gov/service/pnp/cph/3c00000/3c05000/3c05800/3c05850v.jpg#h=825&w=1024","","","","","","","","","","","","","","",""
"","","","","False","photo, print, drawing","","","","","","http://www.loc.gov/item/97518698/","prints and photographs division","bain collection","lot 11147","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","klem, william j.","photographic prints","portrait photographs","klem, william j","","","","","","","","","17","http://www.loc.gov/item/11705537","ggbain","bbpix.mar","catalog","bain","baseball-and-jackie-robinson","main-catalog","[William J. Klem, baseball umpire, full-length portrait, standing, facing left]","image","","image/gif","image/jpg","image/tif","image/jpeg","","","","http://www.loc.gov/item/11705537","","","True","1 photographic print.","2018-05-08T20:49:24.143Z","pictures","ammem","catalog","2018-05-08T20:28:33.556Z","1914","LOT 11147-1 <item> [P&P]","","http://www.loc.gov/pictures/collection/ggbain/item/97518698/","http://www.loc.gov/item/97518698/","http://www.loc.gov/pictures/item/97518698/","http://hdl.loc.gov/loc.pnp/cph.3b15762","http://www.loc.gov/resource/cph.3b15762/","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(cph+3b15762))","http://lccn.loc.gov/97518698","","","","","","","","","1914-01-01T00:00:00Z","english","https://www.loc.gov/item/97518698/","","False","//cdn.loc.gov/service/pnp/cph/3b10000/3b15000/3b15700/3b15762_150px.jpg","//cdn.loc.gov/service/pnp/cph/3b10000/3b15000/3b15700/3b15762_150px.jpg#h=150&w=131","//cdn.loc.gov/service/pnp/cph/3b10000/3b15000/3b15700/3b15762t.gif#h=150&w=131","//cdn.loc.gov/service/pnp/cph/3b10000/3b15000/3b15700/3b15762r.jpg#h=640&w=558","","","","","","","","","","","","","","","",""
"","","","","False","photo, print, drawing","","","","","","http://www.loc.gov/item/89714219/","prints and photographs division","bain collection","lot 11147","catalog","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","bresnahan, roger","baseball","photographic prints","","","","","","","","","","18","http://www.loc.gov/item/11529389","ggbain","catalog","bbpix.mar","bain","main-catalog","baseball-and-jackie-robinson","[Roger Bresnahan, catching for the New York Giants while a Pittsburgh Pirate player is at bat]","image","","image/gif","image/jpg","image/tif","image/jpeg","","","","http://www.loc.gov/item/11529389","","","True","1 photographic print.","2018-05-08T20:49:07.863Z","pictures","catalog","ammem","2018-05-08T20:28:31.491Z","1908","LOT 11147-1 [item] [P&P]","","http://www.loc.gov/pictures/collection/ggbain/item/89714219/","http://hdl.loc.gov/loc.pnp/cph.3b43967","http://www.loc.gov/item/89714219/","http://www.loc.gov/pictures/item/89714219/","http://hdl.loc.gov/loc.pnp/ppmsca.18473","http://www.loc.gov/resource/ppmsca.18473/","http://www.loc.gov/resource/cph.3b43967/","http://lccn.loc.gov/89714219","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(cph+3b43967))","","","","","","","1908-01-01T00:00:00Z","english","https://www.loc.gov/item/89714219/","","False","//cdn.loc.gov/service/pnp/ppmsca/18400/18473_150px.jpg","//cdn.loc.gov/service/pnp/ppmsca/18400/18473_150px.jpg#h=104&w=150","//cdn.loc.gov/service/pnp/ppmsca/18400/18473t.gif#h=104&w=150","//cdn.loc.gov/service/pnp/ppmsca/18400/18473r.jpg#h=445&w=640","//cdn.loc.gov/service/pnp/ppmsca/18400/18473v.jpg#h=712&w=1024","","","","","","","","","","","","","","",""
"","","","","False","photo, print, drawing","","","","","","http://www.loc.gov/item/97518651/","prints and photographs division","bain collection","lot 11147","catalog","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","stengel, casey","baseball players","new york (state)","new york","photographic prints","portrait photographs","","","","","","","19","http://www.loc.gov/item/11705497","ggbain","catalog","bbpix.mar","bain","main-catalog","baseball-and-jackie-robinson","[Casey Stengel, full-length portrait, wearing sunglasses, while playing outfield for the Brooklyn Dodgers]","image","","image/gif","image/jpg","image/tif","image/jpeg","","new york","","http://www.loc.gov/item/11705497","","","True","1 photographic print.","2018-05-08T20:49:24.143Z","pictures","catalog","ammem","2018-05-08T20:28:33.556Z","1915","LOT 11147-1 [item] [P&P]","","http://www.loc.gov/pictures/collection/ggbain/item/97518651/","http://hdl.loc.gov/loc.pnp/cph.3b19121","http://www.loc.gov/item/97518651/","http://www.loc.gov/pictures/item/97518651/","http://hdl.loc.gov/loc.pnp/ppmsca.18466","http://www.loc.gov/resource/ppmsca.18466/","http://www.loc.gov/resource/cph.3b19121/","http://lccn.loc.gov/97518651","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(cph+3b19121))","","","","","","","1915-01-01T00:00:00Z","english","https://www.loc.gov/item/97518651/","","False","//cdn.loc.gov/service/pnp/ppmsca/18400/18466_150px.jpg","//cdn.loc.gov/service/pnp/ppmsca/18400/18466_150px.jpg#h=150&w=125","//cdn.loc.gov/service/pnp/ppmsca/18400/18466t.gif#h=150&w=125","//cdn.loc.gov/service/pnp/ppmsca/18400/18466r.jpg#h=640&w=533","//cdn.loc.gov/service/pnp/ppmsca/18400/18466v.jpg#h=1024&w=853","","","","","","","","","","","","","","",""
"","","","","False","photo, print, drawing","","","","","","http://www.loc.gov/item/97518653/","prints and photographs division","bain collection","lot 11147","catalog","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","young, cy","baseball players","massachusetts","boston","photographic prints","portrait photographs","","","","","","","20","http://www.loc.gov/item/11705499","ggbain","catalog","bbpix.mar","bain","main-catalog","baseball-and-jackie-robinson","[Cy Young, Boston AL, full-length portrait, standing, facing right, throwing baseball]","image","","image/gif","image/jpg","image/tif","image/jpeg","","boston","massachusetts","http://www.loc.gov/item/11705499","","","True","1 photographic print.","2018-05-08T20:49:24.143Z","pictures","catalog","ammem","2018-05-08T20:28:33.556Z","1908","LOT 11147-1 [item] [P&P]","","http://www.loc.gov/pictures/collection/ggbain/item/97518653/","http://hdl.loc.gov/loc.pnp/cph.3b25020","http://www.loc.gov/item/97518653/","http://www.loc.gov/pictures/item/97518653/","http://hdl.loc.gov/loc.pnp/ppmsca.18467","http://www.loc.gov/resource/ppmsca.18467/","http://www.loc.gov/resource/cph.3b25020/","http://lccn.loc.gov/97518653","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(cph+3b25020))","","","","","","","1908-01-01T00:00:00Z","english","https://www.loc.gov/item/97518653/","","False","//cdn.loc.gov/service/pnp/ppmsca/18400/18467_150px.jpg","//cdn.loc.gov/service/pnp/ppmsca/18400/18467_150px.jpg#h=119&w=150","//cdn.loc.gov/service/pnp/ppmsca/18400/18467t.gif#h=119&w=150","//cdn.loc.gov/service/pnp/ppmsca/18400/18467r.jpg#h=507&w=640","//cdn.loc.gov/service/pnp/ppmsca/18400/18467v.jpg#h=811&w=1024","","","","","","","","","","","","","","",""
"","","","","False","photo, print, drawing","","","","","","http://www.loc.gov/item/89714109/","prints and photographs division","bain collection","lot 11147","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","new york yankees (baseball team)","baseball players","new york (state)","new york","group portraits","photographic prints","portrait photographs","","","","","","21","http://www.loc.gov/item/11529288","ggbain","bbpix.mar","catalog","bain","baseball-and-jackie-robinson","main-catalog","[New York Yankees baseball team posed]","image","","image/gif","image/jpg","image/tif","image/jpeg","","new york","","http://www.loc.gov/item/11529288","","","True","1 photographic print.","2018-05-08T20:49:07.863Z","pictures","ammem","catalog","2018-05-08T20:28:31.491Z","1926","LOT 11147-2 <item> [P&P]","","http://www.loc.gov/pictures/collection/ggbain/item/89714109/","http://www.loc.gov/item/89714109/","http://www.loc.gov/pictures/item/89714109/","http://hdl.loc.gov/loc.pnp/cph.3b46772","http://www.loc.gov/resource/cph.3b46772/","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(cph+3b46772))","http://lccn.loc.gov/89714109","","","","","","","","","1926-01-01T00:00:00Z","english","https://www.loc.gov/item/89714109/","","False","//cdn.loc.gov/service/pnp/cph/3b40000/3b46000/3b46700/3b46772_150px.jpg","//cdn.loc.gov/service/pnp/cph/3b40000/3b46000/3b46700/3b46772_150px.jpg#h=108&w=150","//cdn.loc.gov/service/pnp/cph/3b40000/3b46000/3b46700/3b46772t.gif#h=108&w=150","//cdn.loc.gov/service/pnp/cph/3b40000/3b46000/3b46700/3b46772r.jpg#h=541&w=750","","","","","","","","","","","","","","","",""
"","","","","False","photo, print, drawing","","","","","","http://www.loc.gov/item/97515630/","prints and photographs division","bain collection","lot 11147","catalog","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","baseball players","hawaii","honolulu","group portraits","photographic prints","portrait photographs","","","","","","","22","http://www.loc.gov/item/11702710","ggbain","catalog","bbpix.mar","bain","main-catalog","baseball-and-jackie-robinson","Honolulu ball team","image","","image/gif","image/jpg","image/tif","image/jpeg","","hawaii","honolulu","http://www.loc.gov/item/11702710","","","True","1 photographic print. | Photograph shows eleven men in baseball uniforms posed with a man wearing a suit, in front of an enclosed seating area where several men in suits are sitting.","2018-05-08T20:49:24.143Z","pictures","catalog","ammem","2018-05-08T20:28:33.556Z","1910","LOT 11147-2 [item] [P&P]","","http://www.loc.gov/pictures/collection/ggbain/item/97515630/","http://hdl.loc.gov/loc.pnp/cph.3c19529","http://www.loc.gov/item/97515630/","http://www.loc.gov/pictures/item/97515630/","http://hdl.loc.gov/loc.pnp/ppmsca.18456","http://www.loc.gov/resource/ppmsca.18456/","http://www.loc.gov/resource/cph.3c19529/","http://lccn.loc.gov/97515630","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(cph+3c19529))","","","","","","","1910-01-01T00:00:00Z","english","https://www.loc.gov/item/97515630/","","False","//cdn.loc.gov/service/pnp/ppmsca/18400/18456_150px.jpg","//cdn.loc.gov/service/pnp/ppmsca/18400/18456_150px.jpg#h=110&w=150","//cdn.loc.gov/service/pnp/ppmsca/18400/18456t.gif#h=110&w=150","//cdn.loc.gov/service/pnp/ppmsca/18400/18456r.jpg#h=471&w=640","//cdn.loc.gov/service/pnp/ppmsca/18400/18456v.jpg#h=753&w=1024","","","","","","","","","","","","","","",""
"","","","","False","photo, print, drawing","","","","","","http://www.loc.gov/item/97515632/","prints and photographs division","bain collection","lot 11147","catalog","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","waseda daigaku","sports","baseball players","hawaii","honolulu","group portraits","photographic prints","portrait photographs","","","","","23","http://www.loc.gov/item/11702712","ggbain","catalog","bbpix.mar","bain","main-catalog","baseball-and-jackie-robinson","Waseda University baseball team to visit U.S., now in Honolulu","image","","image/gif","image/jpg","image/tif","image/jpeg","","hawaii","honolulu","http://www.loc.gov/item/11702712","","","True","1 photographic print.","2018-05-08T20:49:24.143Z","pictures","catalog","ammem","2018-05-08T20:28:33.556Z","1911","LOT 11147-2 [item] [P&P]","","http://www.loc.gov/pictures/collection/ggbain/item/97515632/","http://hdl.loc.gov/loc.pnp/cph.3c19534","http://www.loc.gov/item/97515632/","http://www.loc.gov/pictures/item/97515632/","http://hdl.loc.gov/loc.pnp/ppmsca.18457","http://www.loc.gov/resource/ppmsca.18457/","http://www.loc.gov/resource/cph.3c19534/","http://lccn.loc.gov/97515632","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(cph+3c19534))","","","","","","","1911-01-01T00:00:00Z","english","https://www.loc.gov/item/97515632/","","False","//cdn.loc.gov/service/pnp/ppmsca/18400/18457_150px.jpg","//cdn.loc.gov/service/pnp/ppmsca/18400/18457_150px.jpg#h=104&w=150","//cdn.loc.gov/service/pnp/ppmsca/18400/18457t.gif#h=105&w=150","//cdn.loc.gov/service/pnp/ppmsca/18400/18457r.jpg#h=446&w=640","//cdn.loc.gov/service/pnp/ppmsca/18400/18457v.jpg#h=713&w=1024","","","","","","","","","","","","","","",""
"","","","","False","photo, print, drawing","","","","","","http://www.loc.gov/item/93515495/","prints and photographs division","bain collection","lot 11147","catalog","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","world series (baseball)","new york (state)","new york","sports spectators","baseball","photographic prints","","","","","","","24","http://www.loc.gov/item/11626146","ggbain","catalog","bbpix.mar","bain","main-catalog","baseball-and-jackie-robinson","[Baseball fans - crowds at Ebbets Field for World Series game]","image","","image/gif","image/jpg","image/tif","image/jpeg","","new york","","http://www.loc.gov/item/11626146","","","True","1 photographic print.","2018-05-08T20:49:17.423Z","pictures","catalog","ammem","2018-05-08T20:28:32.756Z","1920","LOT 11147-3 <item> [P&P]","","http://www.loc.gov/pictures/collection/ggbain/item/93515495/","http://hdl.loc.gov/loc.pnp/cph.3b46676","http://www.loc.gov/item/93515495/","http://www.loc.gov/pictures/item/93515495/","http://hdl.loc.gov/loc.pnp/ppmsca.19500","http://www.loc.gov/resource/ppmsca.19500/","http://www.loc.gov/resource/cph.3b46676/","http://lccn.loc.gov/93515495","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(cph+3b46676))","","","","","","","1920-01-01T00:00:00Z","english","https://www.loc.gov/item/93515495/","","False","//cdn.loc.gov/service/pnp/ppmsca/19500/19500_150px.jpg","//cdn.loc.gov/service/pnp/ppmsca/19500/19500_150px.jpg#h=100&w=150","//cdn.loc.gov/service/pnp/ppmsca/19500/19500t.gif#h=100&w=150","//cdn.loc.gov/service/pnp/ppmsca/19500/19500r.jpg#h=426&w=640","//cdn.loc.gov/service/pnp/ppmsca/19500/19500v.jpg#h=681&w=1024","","","","","","","","","","","","","","",""
"","","","","False","photo, print, drawing","","","","","","http://www.loc.gov/item/97518644/","prints and photographs division","bain collection","lot 11147","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","shibe park (philadelphia, pa.)","stadiums","pennsylvania","philadelphia","photographic prints","","","","","","","","25","http://www.loc.gov/item/11705490","ggbain","bbpix.mar","catalog","bain","baseball-and-jackie-robinson","main-catalog","Entrance Phila. baseball field, Shibe Park","image","","image/gif","image/jpg","image/tif","image/jpeg","","pennsylvania","philadelphia","http://www.loc.gov/item/11705490","","","True","1 photographic print.","2018-05-08T20:49:24.143Z","pictures","ammem","catalog","2018-05-08T20:28:33.556Z","1913","LOT 11147-3 <item> [P&P]","","http://www.loc.gov/pictures/collection/ggbain/item/97518644/","http://www.loc.gov/item/97518644/","http://www.loc.gov/pictures/item/97518644/","http://hdl.loc.gov/loc.pnp/cph.3b26893","http://www.loc.gov/resource/cph.3b26893/","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(cph+3b26893))","http://lccn.loc.gov/97518644","","","","","","","","","1913-01-01T00:00:00Z","english","https://www.loc.gov/item/97518644/","","False","//cdn.loc.gov/service/pnp/cph/3b20000/3b26000/3b26800/3b26893_150px.jpg","//cdn.loc.gov/service/pnp/cph/3b20000/3b26000/3b26800/3b26893_150px.jpg#h=121&w=150","//cdn.loc.gov/service/pnp/cph/3b20000/3b26000/3b26800/3b26893t.gif#h=108&w=150","//cdn.loc.gov/service/pnp/cph/3b20000/3b26000/3b26800/3b26893r.jpg#h=541&w=750","","","","","","","","","","","","","","","",""
